,predicted_temp
534,20.11865234375
535,20.46044921875
536,20.947265625
537,21.5625
538,20.232421875
539,21.4990234375
540,20.670166015625
541,19.9853515625
542,20.85546875
543,21.8330078125
544,21.298828125
545,22.15625
546,22.5399169921875
547,22.5203857421875
548,22.7606201171875
549,22.427734375
550,22.5078125
551,22.4296875
552,22.3828125
553,22.6640625
554,22.68359375
555,20.48828125
556,24.4453125
557,26.1640625
558,30.19921875
559,25.6953125
560,24.25390625
561,21.2265625
562,22.50390625
563,22.90234375
564,23.13671875
565,24.3671875
566,23.16015625
567,21.921875
568,22.8125
569,22.71484375
570,21.24609375
571,21.06640625
572,20.8203125
573,23.26171875
574,23.6171875
575,23.00390625
576,24.0234375
577,22.1171875
578,22.953125
579,22.125
580,22.046875
581,21.3046875
582,19.8984375
583,19.80078125
584,20.18359375
585,17.75390625
586,18.5390625
587,22.654296875
588,20.47900390625
589,18.888671875
590,19.150390625
591,19.427734375
592,20.009765625
593,21.240234375
594,20.958984375
595,21.2578125
596,21.798828125
597,17.958984375
598,23.07421875
599,19.09375
600,19.44140625
601,15.748046875
602,15.9755859375
603,20.26904296875
604,19.0869140625
605,18.623046875
606,19.244140625
607,18.560546875
608,18.0791015625
609,18.5859375
610,20.845703125
611,17.7646484375
612,18.0810546875
613,17.890625
614,18.146484375
615,18.478515625
616,18.556640625
617,19.25390625
618,18.8984375
619,19.26171875
620,19.4296875
621,19.6328125
622,19.875
623,20.41015625
624,19.8564453125
625,20.62890625
626,20.423828125
627,20.46575927734375
628,20.28076171875
629,20.162109375
630,20.2581787109375
631,19.79541015625
632,19.939453125
633,19.47265625
634,21.001953125
635,19.8662109375
636,20.6201171875
637,20.8251953125
638,20.919921875
639,20.40234375
640,21.65625
641,21.8564453125
642,21.97216796875
643,22.0662841796875
644,20.704345703125
645,22.70703125
646,21.296875
647,20.4375
648,20.7265625
649,19.783203125
650,17.60546875
651,16.126953125
652,21.908203125
653,20.59326171875
654,19.9541015625
655,21.92901611328125
656,18.70703125
657,18.83984375
658,21.0234375
659,20.46875
660,20.26171875
661,21.287109375
662,20.048828125
663,19.4140625
664,19.275390625
665,18.890625
666,18.93359375
667,19.552734375
668,19.15234375
669,18.83984375
670,19.521484375
671,18.7421875
672,8.939453125
673,-10.513671875
674,15.822265625
675,19.42578125
676,19.826171875
677,13.9306640625
678,-0.33984375
679,13.82421875
680,20.0751953125
681,-4.6572265625
682,-0.849609375
683,6.0673828125
684,32.5322265625
685,175.828125
686,110.146484375
687,183.1689453125
688,120.09716796875
689,21.22119140625
690,27.5302734375
691,23.46240234375
692,24.63818359375
693,19.939453125
694,17.71484375
695,20.376953125
696,17.283203125
697,17.51953125
698,17.552734375
699,18.365234375
700,17.794921875
701,15.85302734375
702,16.3265380859375
703,17.637939453125
704,16.80322265625
705,15.8740234375
706,12.60693359375
707,18.4130859375
708,18.4921875
709,-0.70556640625
710,-52889.58642578125
711,32903.019874572754
712,27888.65419960022
713,15256.561054229736
714,8858.715599060059
715,-42048.38589477539
716,-133806.0675048828
717,-46107.98568725586
718,187.1279296875
719,17.5068359375
720,20.51953125
721,20.189453125
722,19.470703125
723,19.3896484375
724,19.5078125
725,19.83984375
726,19.64453125
727,19.607421875
